杭州（君亭）银隆西湖四季酒店 ,0571-82117668,0571-82118666
杭州余杭西园宾馆 ,0571-88662150,0571-88662911
杭州中强假日大酒店 ,0571-86238855,0571-86168888
杭州迈德瑞年酒店 ,0571-88782227,0571-88766666
杭州美凯大酒店 ,0571-56755567,0571-56755888
杭州容腾假日酒店 ,0571-88733456,0571-88730588
杭州双溪竹山宾馆 ,0571-88503333,0571-88582999
杭州余杭釜托寺菩提竹苑 ,0571-88567034,0571-88567034
杭州永楠大酒店 ,0571-89278927,0571-89278666
约克酒店连锁（杭州良渚店） ,0571-89015778,0571-89015777
约克酒店连锁（杭州铭雅苑店） ,0571-89006998,0571-89006998
杭州德舒商务酒店 ,0571-56391010,0571-56391133
杭州缶庐山庄 ,0571-86315677,0571-86315700
杭州凤都假日酒店 ,0571-88628880,0571-88628888
杭州君湖国际大酒店 ,0571-89288289,0571-89288288
杭州港信酒店 ,0571-86167888,0571-89027777
杭州嘉登商务酒店 ,0571-26231515,0571-26238888、26231501、26231662
杭州亲亲家园速8酒店 ,0571-89004099,0571-89004077、89004088
杭州中堡假日酒店 ,0571-26233111,0571-26233888
浙江西苑宾馆 ,0571-89082875,0571-89082911
浙江天都城酒店  ,0571-89179555,0571-89179666
杭州临平大酒店  ,0571-86226180,0571-86224122
杭州临平大厦  ,0571-86228116,0571-86237777
杭州福临乐汇度假酒店 ,0571-88731700,0571-88730666
杭州亲亲家园芭乐快捷酒店 ,0571-89008868,0571-89008868
浙江金瑞大酒店 ,0571-56569915,0571-81609999
杭州龙禧福朋喜来登酒店 ,0571-28878887,0571-28878888
杭州肯丁酒店式公寓 ,0571-81114051,0571-81114050
杭州西湖柒号酒店式公寓（星光店） ,0571-87700455-02,0571-86580597
杭州博赛德酒店 ,0571-89708999,0571-87390666
杭州华美达酒店  ,0571-87751438,0571-87779888
杭州江景戴斯大酒店 ,0571-87665123,0571-86689888
杭州龙禧大酒店 ,0571-86690688,0571-86697888
杭州滨江梦尔假日酒店 ,0571-28139188,0571-28132999
杭州和宾假日酒店（滨江店） ,0571-86503888,0571-56072888
杭州星光电影主题酒店 ,0571-87777388,0571-87777688
杭州浙旅名庭顺昌大酒店 ,0571-87670777,0571-86888666
维也纳国际酒店（杭州滨康路店） ,0571-83739177,0571-83739188
布丁酒店（杭州滨江滨康路长河店） ,0571-86691767,0571-86691787、86691797
蚕岛酒店连锁（杭州滨盛路店） ,0571-86696328,0571-86696528
Checkool-且客酒店式公寓（杭州星光店） ,0571-87985262,0571-88867083
杭州爱瑞沃姆精致酒店 ,0571-56565318,0571-56565655
杭州布洛酒店式公寓 ,0571-86538565,0571-85154772
杭州滨桥湾酒店公寓 ,0571-86023832,0571-86023832
杭州度尚居酒店公寓 ,0571-86661842,0571-86661842
杭州罗森酒店式公寓潮人汇店（原西湖柒号潮人汇店） ,0571-88833007,0571-87700106
杭州名仁商务酒店 ,0571-56565123,0571-56565000
杭州青尚快捷酒店 ,0571-81068556,0571-81068555
杭州盛丰商务酒店 ,0571-56565095,0571-58113888
杭州新街坊假日酒店 ,0571-87112739,0571-87112797
杭州元宿印象酒店 ,0571-88996656,0571-88996060
杭州中商宾馆 ,0571-88175008,0571-88176008
南苑e家商务旅店（杭州滨江店） ,0571-57575151,0571-57576555
如家快捷酒店（杭州滨江滨文路店） ,0571-86617600,0571-86617566
速8酒店（杭州休博园店）(原杭州滨康速8酒店（杭州火车南站）) ,0571-28185595,0571-28182288
尚代快捷酒店（杭州钱江一桥店） ,0571-87773350,0571-56699777
尚代快捷酒店（杭州现代印象广场店） ,0571-87773350,0571-56695777
约克酒店连锁（杭州西兴店） ,0571-87569555,0571-87776188
杭州爱啡尔商务酒店 ,0571-88801997,0571-88219999
杭州富尔特商务酒店（滨江店） ,0571-87111688,0571-89891111
杭州滨江速8酒店 ,0571-86601168,0571-87691999
约克酒店连锁（杭州滨文店） ,0571-87675202,0571-87675200
杭州滨江宜必思酒店 ,0571-85872780,0571-56697888
杭州百味人生大酒店  ,0571-87773350,0571-87773363
杭州水晶柠檬酒店式公寓 ,0571-85228141,0571-88833002
杭州星光酒店式公寓 ,0571-86581365,0571-86583065
