奉化华信国际大酒店 ,0574-28588811,0574-28588888
莫泰168（扬州邗江中路店） ,0514-87876788,0514-87855788
速8酒店（扬州汽车西站店） ,0514-89881208,0514-89881288
尚客优快捷酒店（扬州何园店） ,0514-82723298,0514-82723199、82723299
文昌都市136连锁宾馆（四望亭店） ,0514-87332814,0514-87369633
文昌都市136连锁宾馆（扬州文昌店） ,0514-87338299-8999,0514-87333833
文昌都市136连锁宾馆（扬州文缘店） ,0514-87332814,0514-87337333
怡莱连锁酒店（扬州西站店） ,0514-85598666,0514-85559666
扬州爱家快捷酒店 ,0514-80821166,0514-80821166
扬州百汇青年旅舍 ,0514-85108688,0514-85108688
扬州百祥速8酒店（三龙店） ,0514-87786930,0514-87786976、87786949
扬州城市118快捷酒店 ,0514-87231188,0514-87230088
扬州辰源宾馆 ,0514-87702688,0514-87702288、87702688
扬州丹桂苑宾馆 ,0514-87323812,0514-87345600
扬州福客都何园青年旅舍 ,0514-85887899,0514-85558100
扬州富康商务酒店 ,0514-87276168,0514-87276168
扬州个园青年旅舍 ,0514-87337569,0514-87348333
扬州邗都大酒店 ,0514-87805108,0514-87805188
扬州和加美酒店 ,0514-85555330,0514-87825777、87936677
扬州泓柳商务宾馆 ,0514-85113811,0514-87323618
扬州皇庭商务宾馆 ,0514-87809669,0514-87809988
扬州金狮壹佰酒店 ,0514-85551777,0514-85551666
扬州开发区福友宾馆 ,0514-80929900,0514-80927333
扬州明月山庄假日酒店 ,0514-82987077,0514-87898222
扬州庆源速8酒店 ,0514-87804118,0514-87804188、87804198
扬州如家宾馆 ,0514-87703311,0514-87706888
扬州瘦西湖吉祥宾馆 ,0514-87358528,0514-87358528
扬州天乐港假日总汇（客房） ,0514-87899538,0514-87982118
扬州文德宾馆 ,0514-87361091,0514-85552998
扬州星海假日酒店 ,0514-85201668,0514-85201666
扬州永成宾馆 ,0514-85036333,0514-85036888
扬州亦家短租酒店公寓 ,0514-89787430,13912122611
江苏淮左名都国际大酒店 ,0514-87702816,0514-87708888
扬州万顺大酒店 ,0514-87802777,0514-87802767
格林豪泰（扬州帝豪酒店） ,0514-87800777,0514-87706318
汉庭快捷酒店（扬州江阳东路店） ,0514-87563222,0514-87563111
如家快捷酒店（扬州客运站店） ,0514－87785933,0514-87785222
如家快捷酒店（扬州瘦西湖店） ,0514-87329333,0514-87317222
尚客优快捷酒店（扬州西站店） ,0514-82721297,0514-82721299、82721296、82721298
扬州宝带宾馆  ,0514-82987098,0514-87879977
扬州锦城假日酒店 ,0514-87702088,0514-87708111
扬州神州商旅宾馆 ,0514-87870797,0514-87890111
扬州亿佰连锁酒店 ,0514-82721399,0514-82721388
扬州壹之家快捷酒店 ,0514-85116111,0514-87228111
扬州蜀岗西峰大酒店  ,0514-87758868,0514-87758898 
锦江之星（扬州江阳中路店） ,0514-87802988,0514-87569999
江苏省工人扬州疗养院 ,0514-87313567,0514-87809677
