宁波海俱王府酒店 ,0574-87966222,0574-87831888
宁波平安宾馆  ,0574-56156666-1108,0574-56156666
宁波世纪盛业宾馆 ,0574-87980288,0574-87077888、87980228
宁波世纪盛业大酒店（联丰店） ,0574-82812388,0574-88396666、82812366
宁波世纪盛业中苑大酒店  ,0574-87077878,0574-83866888
宁波舒悦宾馆 ,0574-87423187,0574-88009966
宁波泰阁商务酒店 ,0574-56176777,0574-56176888
宁波天马四明山居度假村 ,0574-88178777,0574-83086666
宁波通途苑宾馆 ,0574-87060066,0574-87060088、0574-87060018、0574-87060028
宁波万福富国大酒店 ,0574-27967677,0574-27888666
宁波W·天瑜酒店 ,0574-87078883,0574-87078888
宁波现代大酒店  ,0574-87061199,0574-87061188
宁波雄镇大酒店  ,0574-86316088,0574-86316666
宁波甬港饭店  ,0574-87060666,0574-87060888
宁波永耀大酒店 ,0574-51101121,0574-51101888
宁波艳阳度假·九龙湖养生阁 ,0574-86537998,0574-86537366、86537999
宁波御苑天兴宾馆  ,0574-86871111,0574-86863888、86857668
宁波亚洲华园宾馆  ,0574-87112138,0574-87116888
宁波最佳西方凯利大酒店  ,0574-87337888,0574-87707888
宁波舟宿霓虹精品酒店 ,0574-88119886,0574-88333111
宁波彼特曼公寓酒店 ,0574-87788444,0574-87017888、0574-87017999
99旅馆连锁（宁波柳汀街店） ,0574-89138883,0574-89138885
百时快捷酒店（宁波火车站店） ,0574-87131818,0574-87122666
百时快捷酒店（宁波姚隘路店） ,0574-27728484,0574-27728484、27728488
FOB(富博)宁波酒店 ,0574-87298098,0574-87298898
港隆速8酒店（宁波南站店） ,0574-87089180,0574-87089888
汉庭快捷酒店（宁波百丈东路店） ,0574-27782999,0574-27828888
汉庭快捷酒店（宁波甬港北路二号桥店） ,0574-87010500,0574-83861999
迦得风尚连锁酒店（宁波鼓楼店） ,0574-55000092,0574-55000098、55000096
锦江之星（宁波客运中心店） ,0574-87235808,0574-87235881
莫泰168（宁波客运中心店） ,0574-83897301,0574-87027888
宁波八彩驿家快捷酒店 ,0574-27969112,0574-27969111
宁波滨江假日商务酒店 ,0574-87308308,0574-87622888
宁波柏丽商务酒店 ,0574-55229980,0574-55229988
宁波北仑新丰豪宾馆 ,0574-86808988,0574-86806677
宁波博文大酒店 ,0574-87955933,0574-87955555
宁波CEO商务宾馆 ,0574-88269555,0574-83085999、83085111
宁波晨光花园酒店 ,0574-56251998,0574-56251999
宁波城市之家商务酒店 ,0574-89885005,0574-27722229
宁波城中星商务酒店 ,0574-87981000,0574-87981111
宁波东海饭店 ,0574-27771499,0574-27771400、27772777
宁波大明唐客栈联丰店（原宁波鄞州古林钻石宾馆） ,0574-87334488,0574 -83051999 
宁波大明唐客栈万达店（原宁波鄞州大明唐万达店） ,0574-87334400,0574-87737999
宁波大明唐客栈现代店（原宁波江东爱琴海宾馆） ,0574-87334400,0574-87331133
宁波大明唐外滩店（原宁波秀夜宾馆） ,0574 -87334400,0574 -87331122
宁波二十四家商务酒店 ,0574-27957666,0574-28586666
宁波故香酒店 ,0574-87955155,0574-87702888、87955145
宁波豪莱商务宾馆 ,0574-27899993,0574-27899990
宁波华美之家时尚旅店 ,0574-28873828,0574-28873666
宁波海纳风尚精品宾馆 ,0574-86895660,0574-86895678
宁波海曙枫华丽致酒店 ,0574-87509988,0574-87075168
宁波江东速8酒店 ,0574-27917678,0574-27911888
宁波加州旅馆 ,0574-86838321,0574-86838321
宁波客家007时尚酒店 ,0574-26899007,0574-26866007
宁波凯金商务旅店 ,0574-87050488,0574-87057088
宁波浪琴假日酒店 ,0574-87633308,0574-87223111
宁波龙庭酒店 ,0574-87405116,0574-87457888
宁波乐洲大酒店 ,0574-28898028,0574-28827777
宁波南苑E家商务旅店（城南店） ,0574-27782299,0574-27782266
宁波启航商务酒店 ,0574-56888289,0574-56226888
宁波七尚连锁酒店 ,0574-28895777,0574-28811777
宁波三陆五商务酒店 ,0574-88113988,0574-88200777
宁波沈苑连锁酒店（万达店） ,0574-88115446,0574-28864777
宁波统园商旅酒店 ,0574-83866177,0574-83866166
宁波沃德酒店 ,0574-83885511,0574-83885500
宁波薇阁小筑爱华连锁酒店（宋诏桥店） ,0574-89071400,0574-87862828
宁波薇阁小筑连锁酒店（南苑街店） ,0574-56886788,0574-56886688
宁波望湖时代大酒店 ,0574-27919818,0574-27919999、27919866
宁波汪洋大酒店 ,0574-55002095,0574-55002088-8288
宁波新贺丞大酒店 ,0574-87067612,0574-87067878
宁波欣洋商务酒店 ,0574-83054299,0574-88123456
宁波颐丰精品酒店 ,0574-89116114,0574-89116118
宁波宇豪商务酒店 ,0574-82835861,0574-82835858
宁波云庭宾馆 ,0574-88115777,0574-88115188
宁波真和大酒店 ,0574-27726789,0574-27978888
宁波泽廷快捷酒店 ,0574-86863600,0574-86862772
宁波江东煌家商务酒店 ,0574-87950444,0574-87872225
南苑E家商务旅店(宁波中山店) ,0574-27788772,0574-27782778
南苑e家商务旅店（宁波客运中心店） ,0574-87235988,0574-87011888
南苑e家商务旅店（宁波宋诏桥店） ,0574-28892555,0574-28875000
南苑e家商务旅店（宁波中兴店） ,0574-87050999,0574-87050888
新e家连锁酒店（宁波鼓楼店） ,0574-56865599,0574-56867777
新e家连锁酒店（宁波客运中心店） ,0574-88065577,0574-89028902
中信宁波国际大酒店  ,0574-87334739,0574-87757888
宁波海港东方酒店 ,0574-26895555,0574-26897777
宁波嘉和大酒店  ,0574-87165577,0574-87169999
宁波嘉乐大酒店 ,0574-88157999,0574-88120888
宁波老板娘新光大酒店  ,0574-86857495,0574-86885888
宁波曙光丽亭酒店 ,0574-86580178,0574-86629999
宁波首南大酒店 ,0574-28895656,0574-28895678
宁波新舟宾馆  ,0574-87727678,0574-87717678
宁波浙海大酒店  ,0574-82835000,0574-88018888
宁波奥索兰大酒店 ,0574-82820666,0574-82820669
宁波北电宾馆  ,0574-86883244,0574-86892888
宁波春晓苑大酒店 ,0574-86085177,0574-86085188
宁波丁速棕榈湾大酒店 ,0574-83863555,0574-87390000
宁波华茂东钱湖酒店 ,0574-88498628,0574-88498888
宁波美怡酒店 ,0574-86987888,0574-86860001
宁波南都宾馆 ,0574-87086666,0574-87086888
宁波日月宾馆  ,0574-87885858,0574-87066666
宁波天成维多利大酒店 ,0574-88088666,0574-88088888
宁波云海宾馆  ,0574-87098989,0574-87098888
宁波银苑大酒店 ,0574-88118228,0574-88118811
宁波中山饭店  ,0574-87368611,0574-56126888
布丁酒店（宁波南站店） ,0574-87101336,0574-87127088
格林豪泰酒店（宁波北仑店）(原宁波北仑新园宾馆)  ,0574-86860268,0574-86860888
格林豪泰（宁波百丈东路店） ,0574-87275555,0574-87275555
格林豪泰（宁波天一广场店） ,0574-87240516,0574-87255999
汉庭快捷酒店（宁波城隍庙店） ,0574-83871666,0574-87031888
锦江之星（宁波麦德龙店） ,0574－88462002,0574-88462393
锦江之星（宁波火车站店） ,0574-87131818,0574-83882999
锦江之星（宁波鄮城店） ,0574-87282777,0574-87273888
锦江之星（宁波天一店） ,0574-87379922,0574-87052222
锦江之星（宁波雅戈尔店） ,0574-83071717,0574-82813777
锦江之星（宁波朝晖路店） ,0574-87960299,0574-87055888
莫泰168（宁波百丈东路店） ,0574-83853333,0574-87876888
莫泰168（宁波天一广场店） ,0574-27981600,0574-27711168
宁波北城商务酒店 ,0574-26281622,0574-26285555
宁波北仑富春江宾馆 ,0574-86811222,0574-86801555、86811222
宁波北仑名仁假日酒店  ,0574-86150555,0574-86150666
宁波北仑学苑宾馆 ,0574-26885555,0574-26887777、26888532
宁波城市印象酒店 ,0574-56870899,0574-56870800、56870870
宁波风雅倾城时尚酒店 ,0574-87459808,0574-87459788
宁波海曙好顺宾馆 ,0574-87479988,0574-55005454
宁波华悦城市连锁酒店（兴宁店） ,0574-87011288,0574-87052666、87011201
宁波红叶大酒店 ,0574-87877168,0574-87877111
宁波豪苑假日酒店 ,0574-28888367,0574-28879888
宁波江东亿豪商务酒店 ,0574-87991456,0574-87750288、87991466
宁波君艳快捷酒店 ,0574-26280055,0574-26256888
宁波空港翔悦酒店 ,0574-27857999,0574-27857777
宁波老槐树商务酒店 ,0574-87036789,0574-87036887
宁波米兰风尚酒店 ,0574-56880600,0574-56787777
宁波名轩商务宾馆（原北仑中晖商务宾馆） ,0574-86851700,0574-86987777
宁波欧宝大酒店 ,0574-87996612,0574-87996688、87996601
宁波市地质招待所 ,0574-87138093,0574-87091555、87091588-8888
宁波四季假日酒店 ,0574-27725050,0574-27725500、27720880
宁波新家园速8酒店 ,0574-56115679,0574-56115678
宁波亚太四季酒店 ,0574-87995566,0574-87995599
宁波中亿假日大酒店 ,0574-87067999,0574-88288888
南苑E家商务旅店（宁波北仑小港店） ,0574-26852555,0574-26895888
南苑e家商务旅店（宁波北仑新碶店） ,0574-26877628,0574-26872222、400-672-2000
南苑e家商务旅店（宁波北仑学苑店） ,0574-86120818,0574-86117777
南苑E家商务旅店（宁波国际会展中心店） ,0574-27901790,0574-27902727
南苑e家商务旅店（宁波高新区店） ,0574-87967888、87967788,0574-87967777
南苑E家商务旅店（宁波开明店） ,0574-87070333,0574-87070222
南苑E家商务旅店（宁波天源巷店） ,0574-28880088,0574-28880000
如家快捷酒店（宁波北仑新大路店） ,0574-86830699,0574-86832388
如家快捷酒店（宁波环城西路店） ,0574-89082121,0574-89083000
如家快捷酒店（宁波柳汀街店） ,0574-87165608,0574-87165778
如家快捷酒店（宁波桑田路店） ,0574-87990577,0574-87995999
如家快捷酒店（宁波天童北路店） ,0574-83051277,0574-83051288
如家快捷酒店（宁波天一广场鼓楼店） ,0574-83896111,0574-83897000
如家快捷酒店（宁波兴宁路店） ,0574-87856328,0574-87880222
如家快捷酒店（宁波孝闻街店） ,0574-87361188,0574-87362888
如家快捷酒店（宁波月湖店） ,0574-56867799,0574-56867788
如家快捷酒店（宁波中山东路店） ,0574-87379290,0574-87372567
3B酒店（宁波清河店） ,0574-87655678,0574-87386666
月湖大酒店（宁波军分区招待所） ,0574-87294261,0574-87328868-9、8888
宁波丽兹大酒店 ,0574-88223333,0574-88059999
宁波海鸥宾馆  ,0574-56151600,0574-87951188
宁波江南绿洲大酒店 ,0574-88225777,0574-88137777
汉庭快捷酒店（宁波彩虹南路店） ,0574-87869388,0574-87073888
宁波东悦商务酒店 ,0574-87051818,0574-87051828
