无锡木棉花酒店 ,0510-85810111,0510-80266999
无锡天骄宾馆 ,0510-85118446,0510-85118446
无锡新横山饭店  ,0510-85516314,0510-85577168
汉庭快捷酒店（无锡春申路店） ,0510-82626722,0510-82607688
汉庭快捷酒店（无锡新区店） ,0510-85220123,0510-85221133
汉庭快捷酒店（无锡站前店） ,0510-82320666,0510-82320999
锦江之星（无锡火车站店） ,0510-82327770,0510-82322280
锦江之星（无锡火车站店） ,0510-82327770,0510-82322280
锦江之星（无锡解放西路店） ,0510-80187699,0510-80187688
锦江之星（无锡梁青路店） ,0510-85877382,0510-85877383
锦江之星（无锡梅村店） ,0510-88670006,0510-88670000
锦江之星（无锡旺庄店） ,0510-81813788,0510-81813688
锦江之星（无锡锡澄路店） ,0510-82607488,0510-82607288
莫泰168（无锡广益路店） ,0510-82028018,0510-82028028
莫泰168（无锡锡沪中路店） ,0510-66618618,0510-66618666
如家快捷酒店（无锡滨湖开发区华清路店） ,0510-85622399,0510-85622388
如家快捷酒店（无锡南长街永乐路店） ,0510-85038666,0510-85059222
如家快捷酒店（无锡南禅寺步行街店） ,0510-68788811,0510-68788800-9
如家快捷酒店（无锡胜利门北塘大街店）(原无锡北塘大街店) ,0510-82601113,0510-82602221
如家快捷酒店（无锡太湖湖滨商业街店） ,0510-66962666,0510-66962288
如家快捷酒店（无锡五爱路店） ,0510-82729822,0510-82760111
如家快捷酒店（无锡胜利门店） ,0510-82600848,0510-82626258
如家快捷酒店（无锡锡沪东路店） ,0510-81011234,0510-81013939
如家快捷酒店（无锡新区旺庄路店） ,0510-80180011,0510-66616000
如家快捷酒店（无锡县前西街永定桥店） ,0510-82833868,0510-82833858
如家快捷酒店（无锡中山路店） ,0510-82735688,0510-82700588
如家快捷酒店（无锡中央车站广瑞路店）(原无锡广瑞路店) ,0510-82440005,0510-82400818
速8酒店（无锡堰桥店） ,0510-83741686,0510-83575888
万好万家快捷酒店（无锡蓉湖大桥店）  ,0510-83025003,0510-83025001
无锡城市之家商务宾馆 ,0510-85920600,0510-85166573
无锡豪格速8酒店 ,0510-82302217,0510-85176888 
无锡江滨商务酒店 ,0510-85167000,0510-85129388
无锡交运宾馆 ,0510-88685686,0510-88685511
无锡丽湖A8度假民宿 ,0519-82725345,0510-88680853
无锡梅地亚假日酒店 ,0510-68785999,0510-68786888
无锡叁陆伍酒店 ,0510-68911118,0510-68911888
无锡雨后山林温泉酒店 ,0510-88730091,0510-88733000
宜家商务连锁酒店（无锡解放西路店） ,0510-82436666,0510-82734228
宜家商务连锁酒店（无锡南禅寺店） ,0510-82436666,0510-81004888
宜家商务连锁酒店（无锡上马墩店） ,0510-82436666,0510-85411888
无锡红星饭店 ,0510-85949999-8028,0510-85949999
苏州星程精品苏州人家酒店 ,0512-67779999,0512-67778888
苏州胥城大厦  ,0512-68271520,0512-68286688
苏州新城花园酒店  ,0512-68257179,0512-68182888
苏州雅戈尔富宫大酒店  ,0512-65218006,0512-65159998
苏州东山宾馆 ,0512-66281230,0512-66281888
苏州金鸡湖新罗酒店 ,0512-62968487,0512-62968888
苏州金陵观园国际酒店 ,0512-62608889,0512-62608888
苏州建屋豪生全套房酒店 ,0512-62986001,0512-62986666
苏州金陵观园国际酒店 ,0512-62608889,0512-62608888
苏州南园宾馆  ,0512-65198806,0512-67786778
苏州平江华府精品酒店 ,0512-67726888,0512-67726666
苏州世豪全套间酒店 ,0512-68185558,0512-68056789
苏州玄妙索菲特大酒店 ,0512-68011208,0512-68019888
苏州雅戈尔雷迪森广场 ,0512-69170555,0512-69172222
苏州石路步行街星程宜家开元酒店 ,0512-65830009,0512-65830888、0512-65834591
苏州凯莱酒店  ,0512-65218533,0512-65218855
苏州旅居姑苏饭店 ,0512-65199727,0512-65200566
苏州香雪海饭店 ,0512-68123137,0512-68228888
苏州山塘街星程乾生元酒店 ,0512-65833288,0512-65833188
苏州星程植园酒店王天井观前 ,0512-67779578,0512-67771578
苏州乐园星程名城万丽酒店 ,0512-68075972,0512-68075777
苏州香格里拉大酒店  ,0512-68081168,0512-68080168
苏州园外楼饭店  ,0512-85888906,0512-85888588
苏州独墅湖会议酒店 ,0512-6956 8866,0512-69568888
苏州辉盛阁国际公寓 ,0512-88888186,0512-88888188
苏州书香世家平江府酒店 ,0512-67778997,0512-67706688
苏州吴宫泛太平洋酒店  ,0512-65100888,0512-65103388
苏州亚致精品酒店 ,0512-68781234,0512-68781111
书香世家会所酒店（苏州新区店） ,0512-87650777,0512-87655888
苏州金鸡湖名致精品酒店公寓 ,0512-62622266,0512-62622288
苏州四季商旅酒店 ,0512-65126899,0512-65126868
苏州馨乐庭星海服务公寓 ,0512-88858200,0512-88858288
苏州丽晶（水庄）大酒店  ,0512-67572318,0512-67537777
苏州钟慧植园宾馆 ,0512-62994288,0512-62994188
苏州植园商务酒店 ,0512-67627488,0512-67617488
南苑E家商务旅店（苏州观前店） ,0512-87679898,0512-87679966
苏州陶然居宾馆 ,0512-65831997,0512-67233266
苏州洲际酒店 ,0512-62965666,0512-62858888
苏州中茵皇冠假日酒店  ,0512-67612288,0512-67616688
富驿时尚酒店（苏州店） ,0512-65092688,0512-65091688
苏州独墅湖书香世家会所酒店 ,0512-62795777,0512-62795888
苏州戴斯酒店 ,0512-62998382,0512-62995888
苏州汇豪国际酒店 ,0512-62397666,0512-62397999
苏州汉鑫玄妙商务酒店 ,0512-68019229,0512-68019999
苏州茉莉花假日酒店 ,0512-65582288,0512-65588888
苏州苏哥利酒店 ,0512-67770088,0512-67770777
苏州水天堂贵宾楼大酒店 ,0512-65812159,0512-65219888
苏州左岸明珠酒店 ,0512-62856866,0512-62876666
苏州爱尚家精品酒店 ,0512-68019570,0512-68011111、68019387
苏州长江智选假日酒店 ,0512-68717065,0512-68782727
苏州大都会酒店 ,0512-67556608,0512-67556618、67556628
维也纳国际酒店（苏州活力岛店） ,0512-69598828,0512-69598818
汉庭快捷酒店（苏州观前二店） ,0512-65811333,0512-65811222
汉庭快捷酒店（苏州人民桥店） ,0512-65250333,0512-65256888
汉庭快捷酒店（苏州石路二店） ,0512-87779959,0512-87779958
汉庭快捷酒店（苏州新观前店） ,0512-65090202,0512-87779368
汉庭快捷酒店（苏州饮马桥店）（原苏州十全街店） ,0512-65126668,0512-87779918
ID99连锁酒店（苏州观前二店） ,0512-69352799,0512-69352899
如家快捷酒店（苏州阊门山塘街店） ,0512-82205758,0512-82205888
如家快捷酒店（苏州观前二店） ,0512-68019188,0512-68019088
如家快捷酒店（苏州寒山寺店） ,0512-65839997,0512-65831777
如家快捷酒店（苏州竹辉路店） ,0512-65169068,0512-65169058
苏州观前一号酒店 ,0512-65123848,0512-65123848
苏州观前街星程金色皇朝大酒店 ,0512-67705092,0512-67707888
苏州姑苏锦江大酒店 ,0512-66035620,0512-69217777
苏州盛捷绿宝广场酒店公寓 ,0512-68186622,0512-68186611
书香门第商务酒店（苏州观前店） ,0512-65247378,0512-65245677、0512-65247388
书香门第商务酒店（苏州盘门店）  ,0512-68017378,0512-68017388
苏州和乔丽晶公寓酒店 ,0512-68011161,0512-68011118
苏州环秀晓筑养生度假村 ,0512-67687937,0512-66301188
苏州尼盛万丽酒店 ,0512-67672118,0512-67618888
苏州苏苑饭店 ,0512-65252313,0512-66018888
苏州万豪酒店 ,0512-82258899,0512-82258888
苏州维景国际大酒店 ,0512-62920333,0512-62800666
苏州香山国际大酒店 ,0512-68790028,0512-68796666
苏州阳澄湖澜廷度假酒店  ,0512-62988889,0512-62988888
苏州阳澄万丽酒店 ,0512-66730600,0512-66839888
苏州雅都大酒店  ,0512-68291938,0512-68291888
苏州雅都大酒店  ,0512-68291938,0512-68291888
苏州御庭精品酒店（李公堤店） ,0512-62950260,0512-62950888
苏州北疆枫叶园度假村 ,0512-62891108,0512-69560036
苏州东山醉石山庄 ,0512-66305888,0512-66305858
苏州冠云大酒店  ,0512-82106117,0512-68016088
苏州翰尔酒店（月光码头店） ,0512-69580662,0512-69569887
苏州汇金莲花大酒店 ,0512-67590122,0512-66156666
苏州豪仕登大酒店 ,0512-65133293,0512-65656666
苏州市会议中心/苏州中心大酒店  ,0512-65245854,0512-65226691
苏州金龙大酒店  ,0512-68259024,0512-68253538
苏州金龙华庭商务酒店 ,0512-87181977,0512-89177777
苏州建屋国际酒店  ,0512-62967777,0512-62966666
苏州礼顿酒店 ,0512-67333666,0512-67333888
苏州李公堤瑞贝庭公寓酒店 ,0512-69995688,0512-69995666
苏州乐乡饭店  ,0512-65244165,0512-65228888
苏州商旅美居酒店  ,0512-62967666,0512-62967888
苏州商旅阳澄半岛酒店 ,0512-62962777,0512-62962888
苏州书香世家树山温泉度假酒店 ,0512-66060777,0512-66066888
苏州天平大酒店  ,0512-66267802,0512-66268888
苏州桐星国际酒店 ,0512-68383080,0512-68388188
苏州桃园度假村  ,0512-68257825,0512-68018888
苏州万怡酒店 ,0512-67066333,0512-67066666
苏州鑫湖国际酒店 ,0512-62898999,0512-62898999
苏州西交利物浦国际会议中心 ,0512-86665368,0512-86665555
苏州新世纪大酒店  ,0512-65335798,0512-68015555
苏州新世纪大酒店  ,0512-65335798,0512-68015555
苏州运河花园酒店 ,0512-68718818,0512-68716888
苏州御湖山庄 ,0512-66931888-8018,0512-66931888
苏州拥军楼大酒店 ,0512-65510280-8105,0512-65510280
苏州友联假日酒店 ,0512-68115388,0512-68118888
苏州阳明山花园酒店  ,0512-66011222,0512-82252777
苏州竹辉饭店  ,0512-65208778,0512-65205601
苏州中华园大饭店  ,0512-66258625,0512-66256666
苏州中青尚阁国际酒店 ,0512-66233968,0512-66233999
苏州在水一方大酒店 ,0512-67033200,0512-66183888
苏州宝丽精品酒店 ,0512-68792620,0512-66798999
苏州东华度假村 ,0512-66213852,0512-66213439
苏州东山岱湖山庄（台湾会馆苏州店） ,0512-66305666,0512-66305800
苏州都市花园酒店 ,0512-66100033,0512-66103333
苏州蝶尚主题酒店 ,0512-65114123,0512-65114122
苏州东吴饭店 ,0512-65192327,0512-65193681
苏州翰尔酒店（平江路店） ,0512-65811577,0512-67777189
苏州华侨饭店  ,0512-68261264,0512-68261888
苏州涵升宾馆 ,0512-88607298,0512-68783711
苏州金马会时尚酒店 ,0512-66055955,0512-66055988
苏州金桥假日大酒店 ,0512-82106117,0512-82106008
苏州金庭艳阳度假酒店 ,0512-66277222,0512-66277111
苏州嘉怡酒店 ,0512-62952555,0512-62950666
苏州久怡假日酒店 ,0512-62727998,0512-62727999
苏州九州商务宾馆 ,0512-66506668,0512-66506668
苏州乐园度假酒店  ,0512-68259935,0512-68258258
苏州米兰富驿酒店 ,0512-67707278,0512-67702888
苏州名山一家商务酒店 ,0512-66583678,0512-66580888
苏州四季阳光酒店 ,0512-62819996,0512-62819998
苏州山塘人家商务酒店 ,0512-65891190,0512-65568999
苏州旺山耕岛度假酒店 ,0512-67681686,0512-66301686
苏州新鲜港时尚酒店（渭塘店） ,0512-62965556,0512-66735553
苏州西雍古堡酒店 ,0512-82250009,0512-82276777
苏州宜必思酒店 ,0512-81879965,0512-81879966
苏州御海湾商务大酒店 ,0512-62969578,0512-69995558
苏州印尚精品酒店 ,0512-66096669,0512-66096669
苏州友谊宾馆  ,0512-65206221,0512-65166166
苏州中新科技城邻里商务酒店 ,0512-67069993,0512-67069992
99旅馆连锁（苏州拙政园店） ,0512-67703899,0512-67706899
布丁酒店（苏州大学城店） ,0512-66035033,0512-66031908
布丁酒店（苏州汽车南站店） ,0512-68225616,0512-68226698
布丁酒店（苏州石路店） ,0512-65583988,0512-65584848
布丁酒店（苏州石路中心店） ,0512-67231281,0512-65581195
布丁酒店（苏州园区店） ,0512-67503988,0512-67504848
百时快捷（苏州观前街店） ,0512-67709567,0512-67709867
百时快捷（苏州汽车南站） ,0512-69152019,0512-69152029
格林豪泰（苏州何山路店） ,0512-66611888-8300,0512-66611888
格林豪泰（苏州金鸡湖李公堤店） ,0512-62728998,0512-62726998
格林联盟酒店（苏州寒山寺店） ,0512-66321301,0512-66612666
格林联盟酒店（苏州娄葑店） ,0512-69178879,0512-69178878
汉庭海友客栈（苏州观前街店） ,0512-65815115,0512-65815115
汉庭快捷酒店（苏州观前店） ,0512-67701212,0512-87779388
汉庭快捷酒店（苏州观前景德路店）(原苏州观前三店) ,0512-65816226,0512-65816116
汉庭快捷酒店（苏州工业园区店） ,0512-66696660,0512-69996669
汉庭快捷酒店（苏州平江新城店） ,0512-67708838,0512-67708828
锦江之星（苏州火车站万达广场店） ,0512-69353535,0512-69355999
麦禾酒店（苏州观前店） ,0512-65123218,0512-65123188
麦禾酒店（苏州十全店） ,0512-65195213,0512-65193188
莫泰168（苏州寒山寺店） ,0512-65510101,0512-65511010
莫泰168（苏州甪直古镇店） ,0512-66029839,0512-66026868
莫泰168（苏州石路山塘街店） ,0512-65898399,0512-65896188
莫泰168（苏州吴中商城店） ,0512-66050228,0512-66351888
南苑E家商务旅店（苏州园区店） ,0512-62723159,0512-62720880
如家快捷酒店（苏州宝带西路店） ,0512-65095368,0512-65095388
如家快捷酒店（苏州火车站北广场店） ,0512-69350005,0512-69358555
如家快捷酒店（苏州木渎店） ,0512-66516111,0512-66519666
如家快捷酒店（苏州石路店） ,0512-68265000,0512-68285000
如家快捷酒店（苏州新观前店） ,0512-87771688,0512-87771666
如家快捷酒店（苏州新区马运路店） ,0512-68016000,0512-68019666
如家快捷酒店（苏州新区商业街店） ,0512-68789188,0512-68783288
速8酒店（苏州石路步行街店） ,0512-82258933,0512-80983111
速8酒店（苏州石路e街区店） ,0512-65895661,0512-65895988
速8酒店（苏州拙政园店） ,0512-67720866,0512-67729999
苏州百度快捷酒店 ,0512-65095069,0512-67550969
苏州百怡枫桥店 ,0512-82158778,0512-82158777
苏州萃华园大酒店 ,0512-67284629,0512-67285858
苏州春来假日酒店 ,0512-62857855,0512-62712883
苏州城市饭店 ,0512-68072229,0512-68246977
苏州采香泾生态园 ,0512-67689293,0512-67682838
苏州东昌贵宾酒店 ,0512-65272720,0512-65253688
苏州大苏宾馆 ,0512-65581208,0512-65588088
苏州鼎馨公寓酒店 ,0512-67878983,0512-89991888
苏州得月阁湖景度假别墅农庄 ,0512-66370058,0512-66370008
苏州E星程快捷酒店 ,0512-88876789,0512-88876888
苏州枫丹白露酒店 ,0512-66909808-1285,0512-66909998
苏州桂林园宾馆 ,0512-65157999,0512-65157888
苏州高新区人和宾馆 ,0512-68079635,0512-68079635
苏州汇丰128快捷酒店 ,0512-65501399,0512-66094128、4008865128
苏州好格快捷酒店 ,0512-67318600,0512-67318600
苏州黄浦大酒店 ,0512-88188778,0512-88188766
苏州海洲商务酒店 ,0512-67666336,0512-67666333
苏州金瀚林速8酒店 ,0512-65687068,0512-65687088
苏州嘉禾商务宾馆 ,0512-67772227,0512-67779111
苏州久久商务宾馆 ,0512-65508885,0512-65508885
苏州久灵快捷酒店 ,0512-68709371,0512-68709598
苏州凯家商务连锁酒店 ,0512-69336911,0512-69336988
苏州客林旅店（观前店） ,0512-67776691,0512-67775551
苏州科逸连锁酒店 ,0512-68555223,0512-68555222
苏州甪直君悦宾馆 ,0512-66023730,0512-66023868
苏州木渎电力宾馆 ,0512-66261067,0512-66264333
苏州木渎金灵宾馆 ,0512-82125688,0512-66380068
苏州梦里水乡客房部 ,0512-65044887,0512-65025185
苏州农夫天堂农家乐 ,0512-66270648,0512-66270648
苏州胜家宾馆 ,0512-67722600,0512-67728588
苏州水墨江南宾馆 ,0512-65020268,0512-65020258
苏州市紫兰晓筑休闲会所 ,0512-66795907,0512-66798483、66795907
苏州桃花坞创意汽车宾馆 ,0512-67722215,0512-67723211、67723233
苏州天景宾馆 ,0512-65213800,0512-65213700
苏州旺山福地大酒店 ,0512-67685283,0512-67685618
苏州小城故事酒店 ,0512-67708260,0512-67700866
苏州行程无忧酒店连锁 ,0512-67273707,0512-65721868
苏州新豪盛宾馆 ,0512-67773660,0512-67779001
苏州新嘉乐宾馆 ,0512-66596678,0512-66596668
苏州星天宇快捷宾馆 ,0512-67728886,0512-67728889
苏州相王宾馆 ,0512-68011182,0512-68011188
苏州英豪假日宾馆 ,0512-68710269,0512-68710999
苏州云泉小筑温泉会所酒店 ,0512-66077678,0512-88606161
苏州洋溢商务宾馆 ,0512-87179728,0512-88852888
苏州园中楼商务宾馆 ,0512-68852002,0512-68852002
苏州钻石宫商务宾馆 ,0512-67159538,0512-67159838
苏州醉卧锦城商务宾馆 ,0512-66019997,0512-66019996
苏州珍珠宾馆 ,0512-65239086,0512-65239086
万好万家快捷酒店（苏州店） ,0512-65129777,0512-65129555
易佰连锁旅店（苏州石路店） ,0512-68660150,0512-68660160
云顶之星苏州店(原99元我的客栈) ,0512-62725140,0512-62726222
苏州金鸡湖凯宾斯基大酒店 ,0512-62897866,0512-62897888
苏州广场酒店 ,0512-65233338,0512-65233333
苏州宝岛花园酒店  ,0512-66517888,0512-82276999
苏州九华春申湖大酒店 ,0512-66838011,0512-66838888
苏州金鸡湖大酒店  ,0512-62888788,0512-62887878
苏州清山酒店 ,0512-62398996,0512-66890999
苏州阳澄湖维景国际度假酒店 ,0512-66739666,0512-66739888
书香世家会所酒店（苏州园区店） ,0512-67630777,0512-67635888
苏州碧瀛谷假日酒店 ,0512-66567011,0512-66518838
苏州百怡酒店 ,0512-82223327,0512-82223332
苏州湖景花园国际酒店 ,0512-62877679,0512-65079999
苏州金澄锦江国际酒店  ,0512-65433903,0512-65431888
苏州嘉盛丽廷国际酒店 ,0512-66590878,0512-66590888 
苏州敬斋酒店 ,0512-62605060,0512-62601999
苏州南林饭店 ,0512-68015818,0512-68017888
苏州南亚宾馆  ,0512-65765788,0512-65761688
苏州平江客栈 ,0512-65233868,0512-65233888
苏州清澄绿洲商务会馆 ,0512-69177777,0512-69177777
苏州三德大酒店 ,0512-65988288,0512-65988188、65988058
苏州山水度假村  ,0512-66281986,0512-66399888
苏州三元宾馆  ,0512-65215182,0512-65113608
苏州太湖牛仔风情度假村 ,0512-66377051,0512-66377050、021-62111670
苏州新浒大酒店 ,0512-66717288,0512-66717188
苏州颐舍温泉酒店 ,0512-66290007,0512-66290888
名典商旅酒店（苏州三香路店） ,0512-82118919,0512-82118888
苏州滨河皇冠商务酒店 ,0512-68182818,0512-68183888
苏州阊门饭店  ,0512-67274185,0512-67273208
